,Borough,Venue,VenueCategory,MeanCommute,IncomePerCap,Professional,Service,Walk,PublicWork,likes,VenueCategoryGroups
0,Queens,Richie's Place Coffee Shop,Coffee Shop,47.1,14468.0,17.8,30.5,10.3,11.2,12,2
1,Manhattan,CityRow,Gym / Fitness Center,27.0,95574.0,72.6,5.5,22.9,7.7,16,4
2,Manhattan,Ole & Steen,Café,19.9,85826.0,74.8,3.6,47.7,1.6,6,2
3,Manhattan,Park West Cafe & Deli,Café,30.1,28090.0,50.5,23.1,19.0,8.2,46,2
4,Brooklyn,Tres Belle Spa,Spa,33.3,60451.0,69.0,11.1,6.7,9.9,13,4
5,Bronx,Burger King,Fast Food Restaurant,38.7,31134.0,34.6,20.7,1.7,21.3,3,1
6,Brooklyn,The Long Island Bar,Cocktail Bar,32.4,92429.0,76.3,5.7,13.1,10.4,489,2
7,Staten Island,Kings Arms Diner,Diner,39.9,41245.0,44.6,23.8,5.3,22.6,18,1
8,Queens,Key Food,Supermarket,43.0,27515.0,26.6,19.5,2.8,15.2,17,3
9,Queens,Subway,Sandwich Place,38.5,23957.0,23.5,26.0,1.8,7.7,4,1
10,Manhattan,Posto,Pizza Place,25.0,78800.0,67.7,9.1,27.0,4.1,137,0
11,Manhattan,Variety Coffee Roasters,Coffee Shop,29.4,142557.0,77.0,3.5,11.4,4.4,27,2
12,Manhattan,Wine Heaven,Wine Shop,22.7,80750.0,69.7,5.5,23.9,4.6,11,3
13,Manhattan,William Greenberg Desserts,Bakery,24.1,209894.0,75.2,3.3,24.6,1.3,76,3
14,Bronx,Jerome Drugs,Pharmacy,42.5,12208.0,9.1,40.9,7.1,4.5,1,3
15,Queens,Victory Garden Cafe,Café,35.8,33706.0,47.7,12.6,9.4,8.9,7,2
16,Queens,Rolly Kimbab,Korean Restaurant,43.8,39540.0,50.7,14.0,2.6,18.7,29,1
17,Queens,Plaza Panini Cafe,Café,32.4,32673.0,36.2,23.7,7.3,3.4,6,2
18,Queens,Aloft Long Island City-Manhattan View,Hotel,28.9,74751.0,70.2,9.5,1.9,8.5,27,4
19,Staten Island,Walgreens,Pharmacy,40.5,31408.0,35.4,23.7,5.0,17.0,17,3
20,Brooklyn,Aura Lounge,Bar,43.4,30987.0,40.5,22.4,3.7,22.8,19,2
21,Brooklyn,Cousin John's Cafe and Bakery,Bakery,40.7,70579.0,75.6,3.9,5.0,12.4,147,3
22,Manhattan,The Grange Bar & Eatery,Cocktail Bar,38.4,22172.0,31.3,29.7,7.7,12.0,323,2
23,Bronx,Baskin-Robbins,Ice Cream Shop,42.5,12208.0,9.1,40.9,7.1,4.5,0,3
24,Bronx,MATECAÑA,Deli / Bodega,37.9,12216.0,15.4,36.2,11.7,5.3,0,3
25,Staten Island,Marketfresh supermarket,Supermarket,35.3,46678.0,43.1,15.0,0.8,30.1,3,3
26,Bronx,Subway,Sandwich Place,43.8,20805.0,21.2,37.0,10.1,8.9,1,1
27,Queens,MTA - Q27/Q30 Bus Stop,Bus Station,43.8,39540.0,50.7,14.0,2.6,18.7,0,5
28,Brooklyn,The River Café,American Restaurant,22.5,80454.0,67.8,6.9,32.0,10.8,156,1
29,Queens,Baskin-Robbins,Ice Cream Shop,45.5,33202.0,45.4,17.6,2.7,16.2,0,3
30,Queens,Stop & Deli,Deli / Bodega,34.3,18147.0,26.4,21.0,12.6,6.2,5,3
31,Manhattan,Parisi Bakery Delicatessen,Sandwich Place,27.8,68346.0,66.9,6.5,12.0,6.0,278,1
32,Queens,Old Country Bagel,Bagel Shop,37.2,40302.0,44.2,11.8,0.5,16.6,20,3
33,Queens,La Grotta di Marcello,Italian Restaurant,37.0,36960.0,44.7,14.5,4.6,18.1,7,0
34,Bronx,Shore Haven bikepath,Park,43.0,22180.0,28.7,17.1,2.9,16.2,0,4
35,Staten Island,Cafe Milano,Italian Restaurant,39.9,41245.0,44.6,23.8,5.3,22.6,19,0
36,Manhattan,Neapolitan Express,Pizza Place,26.1,111599.0,67.6,2.6,24.1,4.6,54,0
37,Bronx,Subway,Sandwich Place,38.2,15903.0,22.4,32.9,14.1,20.6,1,1
38,Bronx,Pasta Pasta,Italian Restaurant,37.8,29807.0,34.4,24.7,8.4,19.2,9,0
39,Manhattan,Downtown Bakery,Mexican Restaurant,30.8,58068.0,63.8,6.6,20.4,6.0,163,1
40,Staten Island,Ariemma's Italian Deli,Deli / Bodega,40.5,31408.0,35.4,23.7,5.0,17.0,10,3
41,Queens,Veggie Monster,Grocery Store,36.2,26473.0,31.9,28.3,2.3,3.5,5,3
42,Manhattan,TriBeCa Spa of Tranquility,Spa,28.3,142738.0,70.2,4.1,20.6,9.5,61,4
43,Queens,Walgreens,Pharmacy,40.2,30178.0,42.4,16.8,3.6,12.4,0,3
44,Bronx,Full Moon Pizzeria,Pizza Place,40.8,13881.0,25.1,35.3,19.0,9.8,121,0
45,Manhattan,Suited,Coffee Shop,23.7,77456.0,74.4,5.0,28.0,5.2,9,2
46,Manhattan,Club 7 By Iowa Sports,Gym,26.8,82399.0,65.4,10.2,27.6,6.0,15,4
47,Bronx,Tiny's Pizza & Pasta,Italian Restaurant,41.1,13799.0,8.4,39.8,10.0,10.9,6,0
48,Brooklyn,La Bagel Delight,Bagel Shop,40.7,70579.0,75.6,3.9,5.0,12.4,89,3
49,Manhattan,Cafe One,Café,38.4,22172.0,31.3,29.7,7.7,12.0,103,2
50,Brooklyn,Linden Park,Park,49.8,18133.0,18.0,37.8,5.2,22.1,4,4
51,Staten Island,Bario's,Pizza Place,50.5,29462.0,38.7,25.3,2.3,26.4,5,0
52,Brooklyn,Blue Bottle Coffee,Coffee Shop,37.6,79572.0,81.2,2.0,11.1,11.2,59,2
53,Manhattan,Liberty Park,Park,22.8,93787.0,75.2,2.5,27.6,5.6,168,4
54,Brooklyn,Anor Spa,Spa,32.4,92429.0,76.3,5.7,13.1,10.4,11,4
55,Bronx,Caribe Restaurant,Latin American Restaurant,42.3,25420.0,30.3,24.0,0.0,20.7,1,1
56,Queens,Lotus Nails and Spa,Spa,41.3,33648.0,41.2,30.6,5.0,10.3,22,4
57,Brooklyn,Walgreens,Pharmacy,38.6,32624.0,41.7,12.1,6.6,28.8,22,3
58,Queens,Rico Pan Bakery,Bakery,36.2,26473.0,31.9,28.3,2.3,3.5,17,3
59,Brooklyn,Key Food,Supermarket,50.0,27829.0,31.7,30.0,3.2,15.3,3,3
60,Brooklyn,Walgreens,Pharmacy,49.7,34521.0,46.3,17.2,2.4,32.1,16,3
61,Manhattan,Chambers Street Wines,Wine Shop,28.3,142738.0,70.2,4.1,20.6,9.5,90,3
62,Manhattan,Noted Tribeca,Cocktail Bar,28.3,142738.0,70.2,4.1,20.6,9.5,13,2
63,Queens,Takesushi,Sushi Restaurant,39.1,34488.0,38.6,24.3,7.5,9.8,81,1
64,Queens,Planet Fitness,Gym / Fitness Center,28.9,74751.0,70.2,9.5,1.9,8.5,0,4
65,Bronx,Kingsbridge Social Club,Pizza Place,42.1,32688.0,58.1,14.5,10.7,14.8,17,0
66,Manhattan,The P.E. Club,Gym / Fitness Center,27.0,95574.0,72.6,5.5,22.9,7.7,28,4
67,Manhattan,Rite Aid,Pharmacy,38.7,17854.0,24.9,33.0,11.8,12.6,3,3
68,Manhattan,Shangri-La Nails & Spa,Spa,29.1,116699.0,75.6,8.3,15.3,8.5,8,4
69,Manhattan,Caledonia Bar,Bar,31.3,91351.0,61.2,9.1,12.3,5.8,230,2
70,Brooklyn,Fairway Cafe,American Restaurant,38.2,39277.0,48.5,22.2,12.7,7.7,9,1
71,Queens,New Ho Wah,Chinese Restaurant,46.3,18926.0,20.2,38.8,4.4,22.9,0,1
72,Manhattan,Grom,Ice Cream Shop,23.6,115333.0,75.1,3.8,35.9,6.2,46,3
73,Brooklyn,Mosheer Tower Plaza Deli,Deli / Bodega,44.9,19021.0,18.7,40.6,5.9,33.4,0,3
74,Manhattan,Thursday Kitchen,Korean Restaurant,30.0,59917.0,69.2,9.4,25.5,4.9,110,1
75,Manhattan,New Home Sing,Chinese Restaurant,38.6,17791.0,35.7,30.9,5.8,15.4,5,1
76,Brooklyn,Hungry Ghost,Coffee Shop,27.3,32328.0,64.1,10.3,24.5,17.4,20,2
77,Bronx,Leche y Miel,Latin American Restaurant,42.1,32688.0,58.1,14.5,10.7,14.8,19,1
78,Brooklyn,112 ROCKAWAY AVE GROCERY,Deli / Bodega,46.6,14719.0,24.3,30.6,3.6,17.7,0,3
79,Brooklyn,Court Pastry Shop,Bakery,32.2,77933.0,67.5,7.8,11.2,6.7,62,3
80,Manhattan,Upstate Craft Beer and Oyster Bar,Seafood Restaurant,30.8,58068.0,63.8,6.6,20.4,6.0,217,1
81,Brooklyn,Schnitzis,Fast Food Restaurant,28.2,13915.0,30.3,12.7,34.4,3.3,1,1
82,Bronx,Papa John's Pizza,Pizza Place,36.5,14963.0,15.4,48.5,16.2,10.9,0,0
83,Bronx,McDonald's,Fast Food Restaurant,54.9,26663.0,33.3,29.8,7.0,31.7,17,1
84,Manhattan,병천자매순대 (Byun Chung Soon Dae Restaurant) (Byun Chung Soon Dae Restaurant),Korean Restaurant,38.1,20375.0,33.0,28.8,7.3,9.8,16,1
85,Manhattan,Yorkshire Wines & Spirits,Wine Shop,32.2,98530.0,73.8,6.9,15.5,8.3,52,3
86,Manhattan,Dr. Wine,Wine Shop,34.9,109141.0,70.2,2.9,31.1,3.9,11,3
87,Brooklyn,Chelsea Piers Fitness - Brooklyn,Gym / Fitness Center,30.3,65113.0,77.7,4.8,6.5,7.5,21,4
88,Staten Island,Dolphin Fitness Club,Gym / Fitness Center,41.2,34085.0,49.7,14.3,1.6,21.3,7,4
89,Manhattan,Chase Bank,Bank,37.9,56872.0,65.7,7.5,14.5,7.4,4,5
90,Bronx,Villa Barone Ristorante,Italian Restaurant,38.7,31134.0,34.6,20.7,1.7,21.3,15,0
91,Brooklyn,1 Hotel Brooklyn Bridge,Hotel,32.7,64507.0,66.6,9.3,9.1,9.3,98,4
92,Queens,88 Canteen,Chinese Restaurant,43.5,19780.0,27.2,28.4,8.1,8.5,15,1
93,Manhattan,Crank NYC,Gym / Fitness Center,37.9,56872.0,65.7,7.5,14.5,7.4,48,4
94,Brooklyn,L'Industrie Pizzeria,Pizza Place,33.2,28717.0,42.0,19.9,9.0,7.9,60,0
