Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,id,likes
Concourse Village,40.824780490842905,-73.91584652759009,Perry Coffee Shop.,40.823181,-73.910928,Diner,4fa534cee4b0fed4819dc7d4,8
Bedford Park,40.870185164975325,-73.8855121841913,Lena Restaurant,40.86983998935334,-73.89046709970651,Mexican Restaurant,4c1bce70b306c92839d262b7,3
Ozone Park,40.680708468265415,-73.84320266173447,Dunkin' / Baskin-Robbins,40.681115101096395,-73.84511939194152,Donut Shop,4c252a61c11dc9b634bc2624,39
Tudor City,40.746917410740195,-73.97121928722265,Baby Bo's Cantina,40.74504810846564,-73.97574844510618,Mexican Restaurant,3fd66200f964a52049e71ee3,183
Morningside Heights,40.807999738165826,-73.96389627905332,Dig Inn,40.8055612,-73.9653484,American Restaurant,52ebf72a498ed778f4b60252,187
Randall Manor,40.63563000681151,-74.09805062373887,Allison Pond Park,40.638869259759005,-74.09949210727927,Park,5202a317498e775e67c8a475,2
Concourse,40.83428380733851,-73.91558941773444,CTown Supermarkets,40.830121554681384,-73.9178341627121,Grocery Store,4cf68a5beb096ea8d300c648,3
Forest Hills Gardens,40.7146110815117,-73.8410221123401,Bonelle Pastry Shop,40.717103617695436,-73.8405707302451,Bakery,4bb0fa35f964a5208d6f3ce3,22
Riverdale,40.890834493891305,-73.9125854610857,MTA MaBSTOA Bus Bx7 / Bx10 / Bx20 / BxM1 / BxM2 / BxM18 at 246th St. / Hudson Parkway,40.89354823043404,-73.90815138816833,Bus Station,4e763197814ddff25ef75d0b,1
Windsor Terrace,40.65694583575104,-73.98007340430172,Krupa Grocery,40.65995716793667,-73.9806956999739,American Restaurant,5361a097498e40a31baa411c,188
Eltingville,40.542230747450745,-74.1643308041936,Country Donuts,40.54553217701427,-74.16089342939937,Coffee Shop,4bb65d86f562ef3b180b3097,16
New Lots,40.6627442796966,-73.88511776379292,Chase Bank,40.6606528,-73.8850301,Bank,4b7db786f964a52034d02fe3,8
Bensonhurst,40.61100890202044,-73.99517998380729,Villa Fiorita,40.611931,-73.997854,Italian Restaurant,4e30a139483bb3fdc436a7e3,3
