Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,id,likes,geometry,nearest_geom,nearest_block
Jamaica Hills,40.71145964370482,-73.79646462081594,Richie's Place Coffee Shop,40.7105947908539,-73.79296302241056,Coffee Shop,4afef300f964a520033222e3,12,POINT (-73.79296302241056 40.7105947908539),POINT (-73.7924623116 40.7106532663),36081046000
Upper East Side,40.77563857330181,-73.96050763135,CityRow,40.77484736228385,-73.95674766396186,Gym / Fitness Center,56732721498e5862463670b9,16,POINT (-73.95674766396186 40.77484736228385),POINT (-73.9570854271 40.7739698492),36061013400
Midtown,40.754691102706225,-73.98166882730305,Ole & Steen,40.753358,-73.984998,Café,5d3ef94462d0a8000829b797,6,POINT (-73.984998 40.753358),POINT (-73.98557788939999 40.7513567839),36061008400
Manhattan Valley,40.797307041702865,-73.96428617740655,Park West Cafe & Deli,40.79930022471749,-73.95911015590113,Café,4c98c02d2778224bb3b1a668,46,POINT (-73.95911015590113 40.79930022471749),POINT (-73.9602512563 40.7988442211),36061019300
Downtown,40.69084402109802,-73.98346337431099,Tres Belle Spa,40.686583892637216,-73.9850956616532,Spa,4c3768021e06d13a72e0753e,13,POINT (-73.9850956616532 40.68658389263722),POINT (-73.98557788939999 40.6857788945),36047004100
Pelham Bay,40.85064140940335,-73.8320737824047,Burger King,40.852655,-73.827742,Fast Food Restaurant,586938a98cfe544d8d8884ba,3,POINT (-73.827742 40.852655),POINT (-73.8272864322 40.8531155779),36005030000
Cobble Hill,40.687919722485574,-73.99856139218463,The Long Island Bar,40.69064279618185,-73.99631850047321,Cocktail Bar,52487385498e8d3af50faac2,489,POINT (-73.99631850047321 40.69064279618185),POINT (-73.99507537689999 40.6903015075),36047004500
West Brighton,40.631878926546065,-74.1071817826561,Kings Arms Diner,40.63038368896021,-74.10698100476208,Diner,4ade8fcef964a5205d7621e3,18,POINT (-74.10698100476208 40.63038368896021),POINT (-74.105879397 40.6315075377),36085006700
Pomonok,40.73493618075478,-73.80486120040538,Key Food,40.73322068102747,-73.80453337629129,Supermarket,4ba95321f964a520f71e3ae3,17,POINT (-73.80453337629129 40.73322068102747),POINT (-73.8051256281 40.7332663317),36081122701
Woodside,40.746349088602216,-73.90184166838284,Subway,40.74574811224215,-73.90370595272657,Sandwich Place,4b5e3f3af964a520f88529e3,4,POINT (-73.90370595272657 40.74574811224215),POINT (-73.9032663317 40.7468341709),36081025900
Gramercy,40.737209832715,-73.98137594833541,Posto,40.734843,-73.982896,Pizza Place,43c4bb46f964a5205a2d1fe3,137,POINT (-73.982896 40.734843),POINT (-73.98241206029999 40.7355276382),36061006400
Carnegie Hill,40.782682567125704,-73.95325646837112,Variety Coffee Roasters,40.77889926886048,-73.9559004150256,Coffee Shop,5abb96b31f8ed641d150eafa,27,POINT (-73.9559004150256 40.77889926886048),POINT (-73.9570854271 40.7784924623),36061014801
Gramercy,40.737209832715,-73.98137594833541,Wine Heaven,40.73987594241894,-73.98246812491061,Wine Shop,4bc64488db8fa59394109c37,11,POINT (-73.98246812491061 40.73987594241894),POINT (-73.98241206029999 40.7400502513),36061006800
Upper East Side,40.77563857330181,-73.96050763135,William Greenberg Desserts,40.7787515,-73.960608,Bakery,4a22cfd3f964a5208d7d1fe3,76,POINT (-73.96060799999999 40.7787515),POINT (-73.9602512563 40.7784924623),36061014200
Mount Hope,40.84884160724665,-73.90829930881988,Jerome Drugs,40.848338,-73.911528,Pharmacy,4bda0182c79cc9285e037de9,1,POINT (-73.911528 40.848338),POINT (-73.91276381909999 40.8485929648),36005021700
Steinway,40.7759230156429,-73.90228960391673,Victory Garden Cafe,40.77308459462289,-73.90542458167351,Café,50493b03e4b005d18c48aa23,7,POINT (-73.90542458167351 40.77308459462289),POINT (-73.90643216079999 40.7739698492),36081011300
Oakland Gardens,40.74561857141855,-73.75494976234332,Rolly Kimbab,40.74853074631299,-73.756334784455,Korean Restaurant,526c1acf11d288dc8354b7b9,29,POINT (-73.75633478445501 40.74853074631299),POINT (-73.757638191 40.7490954774),36081139900
Long Island City,40.75021734610528,-73.93920223915505,Plaza Panini Cafe,40.750332,-73.94046800000001,Café,4c4f9bb23a6f2d7fa0cb1f76,6,POINT (-73.94046800000001 40.750332),POINT (-73.9412562814 40.7513567839),36081003300
Long Island City,40.75021734610528,-73.93920223915505,Aloft Long Island City-Manhattan View,40.7482794,-73.93982390000001,Hotel,58217f14f5958470beea42d9,27,POINT (-73.93982390000001 40.7482794),POINT (-73.9412562814 40.7490954774),36081001900
Dongan Hills,40.58867294819928,-74.0963990531252,Walgreens,40.586417600000004,-74.09269559999998,Pharmacy,4bf994938d30d13a61790218,17,POINT (-74.09269559999998 40.5864176),POINT (-74.0932160804 40.586281407),36085009602
Flatlands,40.630446043757466,-73.92911302644673,Aura Lounge,40.632307,-73.933679,Bar,55330cba498eade00eb4a396,19,POINT (-73.933679 40.632307),POINT (-73.9349246231 40.6315075377),36047072600
Park Slope,40.67232052268197,-73.97705030183924,Cousin John's Cafe and Bakery,40.67535345399024,-73.97495903554369,Bakery,4b7d51f3f964a52013b82fe3,147,POINT (-73.97495903554369 40.67535345399024),POINT (-73.97608040199999 40.6744723618),36047015700
Hamilton Heights,40.823604284811935,-73.94968791883366,The Grange Bar & Eatery,40.822553515536654,-73.9495322849762,Cocktail Bar,51b15855498e85fb32404731,323,POINT (-73.9495322849762 40.82255351553665),POINT (-73.9507537688 40.8214572864),36061022500
Mount Hope,40.84884160724665,-73.90829930881988,Baskin-Robbins,40.84766017347917,-73.91272050581347,Ice Cream Shop,4e4e4514bd4101d0d7a6750f,0,POINT (-73.91272050581347 40.84766017347917),POINT (-73.91276381909999 40.8485929648),36005021700
Longwood,40.81509904545822,-73.8957882009446,MATECAÑA,40.81684494018555,-73.9010009765625,Deli / Bodega,5367ce7b498e406231dd94c6,0,POINT (-73.9010009765625 40.81684494018555),POINT (-73.9001005025 40.8169346734),36005008500
Shore Acres,40.60971934079284,-74.0666776606177,Marketfresh supermarket,40.611939,-74.071342,Supermarket,5b94127a180b91002c115882,3,POINT (-74.071342 40.611939),POINT (-74.0710552764 40.6111557789),36085002001
Melrose,40.819754370594936,-73.90942160757436,Subway,40.823119,-73.910767,Sandwich Place,4e4ce4d1bd413c4cc66d0562,1,POINT (-73.91076700000001 40.823119),POINT (-73.90959798989999 40.823718593),36005014100
Oakland Gardens,40.74561857141855,-73.75494976234332,MTA - Q27/Q30 Bus Stop,40.74979376603404,-73.75712113093442,Bus Station,4bef32eeb0b376b07ad4dab3,0,POINT (-73.75712113093442 40.74979376603404),POINT (-73.757638191 40.7490954774),36081139900
Fulton Ferry,40.70328109093014,-73.99550751888415,The River Café,40.703754463175066,-73.99483366559151,American Restaurant,3fd66200f964a520efe81ee3,156,POINT (-73.99483366559151 40.70375446317507),POINT (-73.99507537689999 40.7038693467),36061001501
Oakland Gardens,40.74561857141855,-73.75494976234332,Baskin-Robbins,40.747408260210314,-73.75620756069152,Ice Cream Shop,4f91bda57beb818efa884481,0,POINT (-73.75620756069152 40.74740826021031),POINT (-73.757638191 40.7468341709),36081136700
Woodside,40.746349088602216,-73.90184166838284,Stop & Deli,40.74375352926683,-73.90037557411556,Deli / Bodega,4c98a170f419a09373fc7088,5,POINT (-73.90037557411556 40.74375352926683),POINT (-73.9001005025 40.7445728643),36081026100
Little Italy,40.71932379395907,-73.99730467208073,Parisi Bakery Delicatessen,40.721090999999994,-73.99559599999999,Sandwich Place,49cea26cf964a520665a1fe3,278,POINT (-73.99559599999999 40.72109099999999),POINT (-73.99507537689999 40.721959799),36061004300
Howard Beach,40.65422527738487,-73.83813764600279,Old Country Bagel,40.65348394757553,-73.83857560968973,Bagel Shop,4bcdc0b8cc8cd13aa505c3cf,20,POINT (-73.83857560968973 40.65348394757553),POINT (-73.83994974869999 40.654120603),36081089200
Little Neck,40.7708261928267,-73.73889775580741,La Grotta di Marcello,40.771713643603405,-73.7345497143007,Italian Restaurant,4c1a9ed0b4e62d7fa119d893,7,POINT (-73.7345497143007 40.77171364360341),POINT (-73.7354773869 40.7717085427),36081147900
Clason Point,40.80655112003589,-73.85414416189265,Shore Haven bikepath,40.80746238044827,-73.85447516703088,Park,4e5bdca018a8c204752b190b,0,POINT (-73.85447516703088 40.80746238044827),POINT (-73.85577889449999 40.8078894472),36005000200
West Brighton,40.631878926546065,-74.1071817826561,Cafe Milano,40.631013791776006,-74.10290524363519,Italian Restaurant,4bf872974a67c928b57725cf,19,POINT (-74.10290524363519 40.63101379177601),POINT (-74.1027135678 40.6315075377),36085006700
Financial District,40.707107107270474,-74.01066544521271,Neapolitan Express,40.70690829999999,-74.0096853,Pizza Place,552572df498e2692b4103b57,54,POINT (-74.0096853 40.70690829999999),POINT (-74.0109045226 40.7061306533),36061000900
Kingsbridge,40.88168737120521,-73.90281798724605,Subway,40.884486380794506,-73.90027522447271,Sandwich Place,59e644cc66f3cd17e0eeefac,1,POINT (-73.90027522447271 40.88448638079451),POINT (-73.9001005025 40.8847738693),36005028300
Pelham Parkway,40.857413498088654,-73.85475564017999,Pasta Pasta,40.854788064857146,-73.85492881053774,Italian Restaurant,4b47f069f964a5208c4426e3,9,POINT (-73.85492881053774 40.85478806485715),POINT (-73.85577889449999 40.8553768844),36005024800
